cod_tienda,ventas_valor_per_store,Channel,revenue_per_sqmeter,Provincia_x,Sectors,Provincia_y,Income,cluster_labels,cluster_id
231,6019.74,Supermarkets,3.7623375,Zaragoza,Industrial,Zaragoza,13637,Traditional Store,3
232,24376.44,Supermarkets,40.6274,Zaragoza,Industrial,Zaragoza,13637,Traditional Store,3
233,53625.34,Supermarkets,178.7511333333,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
234,2515.53,Supermarkets,4.19255,Salamanca,Industrial,Salamanca,12355,Traditional Store,3
235,219392.76,Supermarkets,243.7697333333,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
236,160838.54,Supermarkets,160.83854,Leon,Primary Sector,Leon,12917,Slow stores,4
237,5062.77,Supermarkets,10.12554,Vizcaya,Industrial,Vizcaya,15555,Traditional Store,3
238,27895.54,Supermarkets,46.4925666667,Caceres,Primary Sector,Caceres,10660,Suburban Stores,0
239,560641.16,Supermarkets,467.2009666667,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
240,4998.12,Supermarkets,8.3302,Asturias,Industrial,Asturias,13505,Traditional Store,3
241,261484.17,Hipermarkets,87.16139,Cadiz,Industrial,Cadiz,10113,Suburban Stores,0
242,132064.98,Supermarkets,146.7388666667,Malaga,touristic,Malaga,10261,Suburban Stores,0
243,376962.96,Supermarkets,251.30864,La Rioja,Industrial,La Rioja,12738,Traditional Store,3
244,7077.81,Supermarkets,11.79635,Badajoz,Industrial,Badajoz,10001,Suburban Stores,0
245,580806.37,Supermarkets,484.0053083333,Cadiz,Industrial,Cadiz,10113,For the tourists,2
246,1917981.87,Hipermarkets,231.082153012,Castellon,Primary Sector,Castellon,12079,Slow stores,4
247,162219.45,Supermarkets,324.4389,Alicante,touristic,Alicante,14962,The Socials,1
248,39156.53,Supermarkets,24.47283125,Avila,Primary Sector,Avila,11577,Slow stores,4
249,126182.53,Supermarkets,315.456325,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,The Socials,1
250,2342114.08,Hipermarkets,207.2667327434,Vizcaya,Industrial,Vizcaya,15555,Smaller Metropolis,5
251,111147.28,Supermarkets,222.29456,Albacete,Industrial,Albacete,11104,Suburban Stores,0
252,154595.73,Supermarkets,193.2446625,Murcia,Industrial,Murcia,10574,Suburban Stores,0
253,384546.03,Supermarkets,226.2035470588,Valencia,Industrial,Valencia,12333,Traditional Store,3
254,39277.4,Supermarkets,130.9246666667,Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
255,100514.75,Supermarkets,143.5925,Asturias,Industrial,Asturias,13505,Traditional Store,3
256,363759.58,Supermarkets,909.39895,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Cosmopolitans,6
257,28650.94,Supermarkets,40.9299142857,Badajoz,Industrial,Badajoz,10001,Suburban Stores,0
258,8285.38,Supermarkets,4.6029888889,Salamanca,Industrial,Salamanca,12355,Traditional Store,3
259,684651.35,Hipermarkets,79.610622093,Huelva,Primary Sector,Huelva,10112,Suburban Stores,0
260,39006.53,Supermarkets,195.03265,Segovia,Primary Sector,Segovia,12722,Slow stores,4
261,374033.14,Supermarkets,170.0150636364,Baleares,touristic,Baleares,12486,Slow stores,4
262,46922.87,Supermarkets,93.84574,Navarra,Primary Sector,Navarra,14718,Slow stores,4
263,664223.39,Supermarkets,415.13961875,Teruel,Primary Sector,Teruel,12656,For the tourists,2
264,2401329.6,Hipermarkets,252.7715368421,Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
265,108028.05,Supermarkets,540.14025,Guipuzkoa,Industrial,Guipuzkoa,16399,The Socials,1
266,16.32,Supermarkets,0.03264,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
267,240575.73,Hipermarkets,80.19191,Sevilla,Industrial,Sevilla,10717,Suburban Stores,0
268,83732.91,Supermarkets,279.1097,Palencia,Primary Sector,Palencia,13153,Slow stores,4
269,23.76,Hipermarkets,0.0067885714,Malaga,touristic,Malaga,10261,Suburban Stores,0
270,225006.73,Supermarkets,160.7190928571,Huelva,Primary Sector,Huelva,10112,Suburban Stores,0
271,551762.84,Supermarkets,424.4329538462,Sevilla,Industrial,Sevilla,10717,For the tourists,2
